cause_of_death,category_human,train_test
compression of vein,none,test
concentric sclerosis [balo],none,train
conduct disorder unspecified,none,train
conduction disorder unspecified,none,train
congenital absence atresia and stenosis of anus without fistula,none,test
congenital absence atresia and stenosis of duodenum,none,train
congenital absence atresia and stenosis of ileum,none,train
congenital absence atresia and stenosis of large intestine part unspecified,none,train
congenital absence atresia and stenosis of small intestine part unspecified,none,test
congenital adrenogenital disorders associated with enzyme deficiency,none,test
congenital and developmental myasthenia,none,train
congenital bronchiectasis,none,train
congenital bronchomalacia,none,test
congenital cerebral cysts,none,train
congenital complete absence of upper limbs,none,train
congenital cyst of mediastinum,none,train
congenital cystic lung,none,train
congenital cytomegalovirus infection,none,train
congenital deformity of spine,none,train
congenital diaphragmatic hernia,none,test
congenital dyserythropoietic anaemia,none,train
congenital heart block,none,train
congenital herpesviral [herpes simplex] infection,none,test
congenital hydrocephalus unspecified,none,train
congenital hydronephrosis,none,train
congenital hypothyroidism without goitre,none,train
congenital hypotonia,none,train
congenital insufficiency of aortic valve,none,train
congenital iodine-deficiency syndrome unspecified,none,train
congenital lactase deficiency,none,train
congenital laryngomalacia,none,train
congenital malformation of aortic and mitral valves unspecified,none,train
congenital malformation of brain unspecified,none,train
congenital malformation of cardiac chambers and connections unspecified,none,train
congenital malformation of cardiac septum unspecified,none,train
congenital malformation of digestive system unspecified,none,train
congenital malformation of face and neck unspecified,none,train
congenital malformation of great vein unspecified,none,train
congenital malformation of heart unspecified,none,train
congenital malformation of intestine unspecified,none,train
congenital malformation of kidney unspecified,none,train
congenital malformation of larynx unspecified,none,train
congenital malformation of lung unspecified,none,test
congenital malformation of male genital organ unspecified,none,train
congenital malformation of musculoskeletal system unspecified,none,train
congenital malformation of nervous system unspecified,none,train
congenital malformation of oesophagus unspecified,none,train
congenital malformation of peripheral vascular system unspecified,none,train
congenital malformation of respiratory system unspecified,none,test
congenital malformation of skin unspecified,none,train
congenital malformation of skull and face bones unspecified,none,test
congenital malformation of spinal cord unspecified,none,train
congenital malformation of stomach unspecified,none,test
congenital malformation of tricuspid valve unspecified,none,test
congenital malformation of urinary system unspecified,none,train
congenital malformation syndromes involving early overgrowth,none,train
congenital malformation syndromes predominantly affecting facial appearance,none,train
congenital malformation syndromes predominantly associated with short stature,none,train
congenital malformation syndromes predominantly involving limbs,none,test
congenital malformation unspecified,none,train
congenital malformations of adrenal gland,none,train
congenital malformations of corpus callosum,none,train
congenital malformations of intestinal fixation,none,train
congenital malformations of lips not elsewhere classified,none,train
congenital malformations of other endocrine glands,none,train
congenital malformations of palate not elsewhere classified,none,train
congenital malformations of spleen,none,train
congenital mitral insufficiency,none,test
congenital mitral stenosis,none,train
congenital myopathies,none,train
congenital pneumonia due to other bacterial agents,none,train
congenital pneumonia due to other organisms,none,test
congenital pneumonia due to pseudomonas,none,test
congenital pneumonia due to staphylococcus,none,train
congenital pneumonia due to viral agent,none,train
congenital pneumonia unspecified,none,train
congenital posterior urethral valves,none,train
congenital pulmonary valve insufficiency,none,test
congenital pulmonary valve stenosis,none,train
congenital renal artery stenosis,none,train
congenital renal failure,none,test
congenital rubella syndrome,none,train
congenital single renal cyst,none,train
congenital stenosis and stricture of oesophagus,none,train
congenital stenosis of aortic valve,none,train
congenital stenosis of bronchus,none,train
congenital subaortic stenosis,none,train
congenital subglottic stenosis,none,test
congenital syphilis unspecified,none,test
congenital toxoplasmosis,none,train
congenital tracheo-oesophageal fistula without atresia,none,train
congenital tracheomalacia,none,train
congenital tricuspid stenosis,none,train
congestion and haemorrhage of prostate,none,train
congestive heart failure,none,test
conjunctivitis unspecified,none,train
constipation,none,train
constitutional aplastic anaemia,none,test
contaminated medical or biological substance transfused or infused,none,train
contracture of joint,none,train
contracture of muscle,none,train
cor triatriatum,none,test
cord compression unspecified,none,train
corneal ulcer,none,train
coronary artery aneurysm,ischaemic heart disease,train
coronavirus infection unspecified site,none,train
corpus luteum cyst,none,test
covid-19 multisystem inflammatory syndrome associated with covid-19,none,train
covid-19 vaccines causing adverse effects in therapeutic use unspecified,none,train
covid-19 virus identified,none,train
covid-19 virus not identified,none,train
coxarthrosis unspecified,none,train
cramp and spasm,none,train
cranial nerve disorder unspecified,none,test
craniofacial dysostosis,none,train
craniosynostosis,none,train
crest syndrome,none,train
creutzfeldt-jakob disease,none,train
crohn disease of large intestine,none,test
crohn disease of small intestine,none,train
crohn disease unspecified,none,test
cryoglobulinaemia,none,train
cryptococcosis unspecified,none,train
cryptosporidiosis,none,train
crystal arthropathy unspecified,none,train
cushing syndrome unspecified,none,train
cutaneous abscess furuncle and carbuncle of buttock,none,train
cutaneous abscess furuncle and carbuncle of face,none,train
cutaneous abscess furuncle and carbuncle of limb,none,test
cutaneous abscess furuncle and carbuncle of neck,none,train
cutaneous abscess furuncle and carbuncle of other sites,none,train
cutaneous abscess furuncle and carbuncle of trunk,none,train
cutaneous abscess furuncle and carbuncle unspecified,none,train
cutaneous nocardiosis,none,train
cutaneous t-cell lymphoma unspecified,none,train
cutis laxa senilis,none,train
cyclothymia,none,train
cyst and mucocele of nose and nasal sinus,none,train
cyst of kidney acquired,none,train
cyst of pancreas,none,train
cyst of spleen,none,train
cystic disease of liver,none,test
cystic fibrosis unspecified,none,train
cystic fibrosis with intestinal manifestations,none,train
cystic fibrosis with other manifestations,none,train
cystic fibrosis with pulmonary manifestations,none,test
cystic kidney disease unspecified,none,train
cystitis unspecified,none,test
cystocele,none,train
cytomegaloviral disease unspecified,none,train
cytomegaloviral hepatitis,none,train
cytomegaloviral pneumonitis,none,train
death from sequelae of direct obstetric cause,none,train
death occurring less than 24 hours from onset of symptoms not otherwise explained,none,train
decubitus ulcer and pressure area unspecified from 2014 onwards,none,test
deep phlebothrombosis in pregnancy,none,train
deep phlebothrombosis in the puerperium,none,train
defects in glycoprotein degradation,none,train
defects in post-translational modification of lysosomal enzymes,none,train
defects in the complement system,none,train
defects of catalase and peroxidase,none,train
deficiency of other specified b group vitamins,none,train
deficiency of vitamin k,none,train
deforming dorsopathy unspecified,none,train
degeneration of macula and posterior pole,none,train
degeneration of nervous system due to alcohol,none,train
